,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
127,Brazil,2019,8/6/2019,Gremio,Chapecoense-SC,3,3,-1,1.29,5.34,12.25,9,4,3.7188743604320598,5
128,Brazil,2019,8/7/2019,Corinthians,Goias,2,0,1,1.52,3.92,7.98,5,4,2.6287058823529397,1
129,Brazil,2019,8/10/2019,Ceara,Chapecoense-SC,4,1,1,1.65,3.8,5.89,11,7,2.30980392156863,4
130,Brazil,2019,8/10/2019,Sao Paulo,Santos,3,2,1,2.64,2.99,3.11,9,5,1.52440983606557,4
131,Brazil,2019,8/10/2019,Flamengo RJ,Gremio,3,1,1,1.59,3.77,6.94,19,4,2.44293183940243,15
132,Brazil,2019,8/11/2019,Atletico-MG,Fluminense,2,1,1,1.85,3.69,4.49,13,10,2.02544009779951,3
133,Brazil,2019,8/11/2019,Internacional,Corinthians,0,0,-1,1.93,3.21,4.92,14,8,1.9425830258302599,6
134,Brazil,2019,8/11/2019,Avai,Cruzeiro,2,2,-1,3.25,3.03,2.52,2,5,1.37578378378378,-3
135,Brazil,2019,8/11/2019,Botafogo RJ,Athletico-PR,2,1,1,2.16,3.34,3.66,5,11,1.74634285714286,-6
136,Brazil,2019,8/11/2019,Palmeiras,Bahia,2,2,-1,1.38,4.53,10.17,13,3,3.13402040816327,10
137,Brazil,2019,8/11/2019,Goias,Vasco,0,1,-1,2.16,3.26,3.76,9,4,1.74609686609687,5
138,Brazil,2019,8/13/2019,CSA,Fortaleza,0,2,-1,3.01,3.06,2.66,3,6,1.42300699300699,-3
139,Brazil,2019,8/17/2019,Corinthians,Botafogo RJ,2,0,1,1.56,3.81,7.26,7,7,2.49869918699187,0
140,Brazil,2019,8/17/2019,Fortaleza,Internacional,0,1,-1,2.23,3.27,3.56,8,2,1.7044216691068799,6
141,Brazil,2019,8/17/2019,Athletico-PR,Atletico-MG,1,0,1,1.87,3.85,4.15,9,7,1.9971875,2
142,Brazil,2019,8/17/2019,Vasco,Flamengo RJ,1,4,-1,6.11,3.78,1.64,8,6,1.1437638376383799,2
143,Brazil,2019,8/18/2019,Gremio,Palmeiras,1,1,-1,2.82,3.05,2.84,12,8,1.47062818336163,4
144,Brazil,2019,8/18/2019,Bahia,Goias,1,1,-1,1.48,4.25,7.71,11,4,2.73975752508361,7
145,Brazil,2019,8/18/2019,Cruzeiro,Santos,2,0,1,2.81,3.09,2.82,4,7,1.47441624365482,-3
146,Brazil,2019,8/18/2019,Fluminense,CSA,0,1,-1,1.31,5.34,10.63,8,0,3.5544270507200997,8
147,Brazil,2019,8/18/2019,Sao Paulo,Ceara,1,0,1,1.66,3.55,6.55,12,4,2.3022277227722796,8
148,Brazil,2019,8/18/2019,Chapecoense-SC,Avai,1,0,1,2.12,3.1,4.12,7,3,1.76897506925208,4
149,Brazil,2019,8/21/2019,Athletico-PR,Sao Paulo,0,1,-1,2.02,3.28,4.3,10,6,1.8606860158311298,4
150,Brazil,2019,8/24/2019,Atletico-MG,Bahia,0,1,-1,2.07,3.21,4.16,15,5,1.81188602442334,10
