,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
221,D1,05/03/16,Werder Bremen,Hannover,4,1,1,1.73,3.8,4.75,11,10,2.11111111111111,1,
222,D1,05/03/16,Wolfsburg,M'gladbach,2,1,1,1.95,3.75,3.6,25,20,1.83673469387755,5,
223,D1,06/03/16,Hamburg,Hertha,2,0,1,2.88,3.1,2.63,14,16,1.42286212914485,-2,
224,D1,06/03/16,Mainz,Darmstadt,0,0,-1,1.75,3.6,5,17,17,2.09302325581395,0,
225,D1,11/03/16,Hertha,Schalke 04,2,0,1,2.4,3.2,3,17,16,1.54838709677419,1,
226,D1,12/03/16,Bayern Munich,Werder Bremen,5,0,1,1.13,9,21,38,20,6.3,18,
227,D1,12/03/16,Darmstadt,Augsburg,2,2,-1,2.8,3.1,2.7,8,15,1.44310344827586,-7,
228,D1,12/03/16,Hannover,FC Koln,0,2,-1,3.5,3.3,2.15,11,14,1.30183486238532,-3,
229,D1,12/03/16,Hoffenheim,Wolfsburg,1,0,1,3.4,3.6,2.1,15,11,1.32631578947368,4,
230,D1,12/03/16,Ingolstadt,Stuttgart,3,3,-1,3,3.2,2.5,12,20,1.40350877192982,-8,
231,D1,12/03/16,M'gladbach,Ein Frankfurt,3,0,1,1.57,4.33,5.5,29,10,2.42268565615463,19,
232,D1,13/03/16,Dortmund,Mainz,2,0,1,1.36,5,8.5,34,17,3.14814814814815,17,
233,D1,13/03/16,Leverkusen,Hamburg,1,0,1,1.67,3.75,5.5,19,14,2.22972972972973,5,
234,D1,18/03/16,Schalke 04,M'gladbach,2,1,1,2.45,3.5,2.8,21,21,1.55555555555556,0,
235,D1,19/03/16,Ein Frankfurt,Hannover,1,0,1,1.85,3.6,4.33,18,11,1.9656998738966,7,
236,D1,19/03/16,FC Koln,Bayern Munich,0,1,-1,11,5,1.29,12,21,1.02543720190779,-9,
237,D1,19/03/16,Hamburg,Hoffenheim,1,3,-1,2.25,3.4,3.2,16,11,1.64848484848485,5,
238,D1,19/03/16,Hertha,Ingolstadt,2,1,1,2.05,3.2,4,19,7,1.77777777777778,12,
