Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,
D1,22/12/2018,4,10,3,2,H,1.44,4.5,7,149,149,2.74507410636443,
D1,22/12/2018,16,6,1,3,A,3.2,3.3,2.3,150,150,1.34850987432675,
D1,23/12/2018,8,3,2,3,A,2.6,3.3,2.75,151,151,1.52816558441558,
D1,23/12/2018,9,7,1,1,D,1.44,4.5,6.5,152,152,2.33949152542373,
D1,18/01/2019,9,0,1,3,A,6,5,1.44,153,153,1.14761760242792,
D1,19/01/2019,8,15,1,2,A,1.9,3.6,4,154,154,1.79249651324965,
D1,19/01/2019,12,13,3,1,H,1.65,4,5.25,155,155,2.55703389830508,
D1,19/01/2019,11,10,0,1,A,3.25,3.6,2.15,156,156,1.34296422487223,
D1,19/01/2019,2,5,0,1,A,2,3.7,3.6,157,157,1.98734591194969,
D1,19/01/2019,4,1,0,1,A,2.5,3.5,2.75,158,158,1.65773273273273,
D1,19/01/2019,16,7,2,3,A,2.4,3.3,2.9,159,159,1.61671274961598,
D1,20/01/2019,17,14,1,3,A,3.5,3.4,2.1,160,160,1.42570458404075,
D1,20/01/2019,6,3,2,1,H,2.2,3.3,3.4,161,161,1.73523672883788,
D1,25/01/2019,14,6,2,2,D,2.5,3.25,2.87,162,162,1.54310177705977,
D1,26/01/2019,1,11,5,1,H,1.16,7.5,15,163,163,5.49902216943785,
D1,26/01/2019,13,9,2,4,A,3.5,4,1.95,164,164,1.30330578512397,
D1,26/01/2019,7,17,2,1,H,1.66,3.8,5.25,165,165,1.97033498759305,
D1,26/01/2019,5,8,2,0,H,1.66,4,5,166,166,2.15246559633028,
D1,26/01/2019,10,12,2,2,D,2.55,3.5,2.7,167,167,1.4951768488746,
D1,26/01/2019,3,2,0,3,A,2.62,3.5,2.6,168,168,1.44998347107438,
D1,27/01/2019,0,16,4,1,H,1.08,13,21,169,169,8.19230103806228,
D1,27/01/2019,15,4,0,4,A,4,3.6,1.9,170,170,1.34963414634146,
D1,01/02/2019,11,4,0,3,A,5.5,4.33,1.53,171,171,1.1938704028021,
D1,02/02/2019,12,1,1,1,D,3.3,3.6,2.15,172,172,1.38123953098827,
D1,02/02/2019,14,3,0,1,A,2.3,3.3,3.25,173,173,1.64613050075873,
D1,02/02/2019,9,15,1,1,D,1.44,4.5,6.5,174,174,2.90291772688719,
D1,02/02/2019,2,0,3,1,H,5.5,4.5,1.55,175,175,1.17874603174603,
D1,02/02/2019,17,10,1,1,D,3.75,3.6,2,176,176,1.27427597955707,
D1,02/02/2019,6,5,0,2,A,2.4,3.4,3,177,177,1.6882100591716,
D1,03/02/2019,8,7,3,0,H,2.1,3.5,3.4,178,178,1.69506607929515,
D1,03/02/2019,16,13,2,2,D,2.15,3.4,3.4,179,179,1.68187221396731,
D1,08/02/2019,7,2,1,5,A,3.8,3.8,1.9,180,180,1.25716171617162,
D1,09/02/2019,0,6,3,1,H,1.2,7,13,181,181,4.31997939206595,
D1,09/02/2019,1,9,3,3,D,1.66,4.2,4.75,182,182,2.16226589595376,
D1,09/02/2019,13,3,3,3,D,2.87,3.4,2.45,183,183,1.46863865546218,
D1,09/02/2019,11,17,2,0,H,2.2,3.4,3.25,184,184,1.75828125,
D1,09/02/2019,5,14,0,3,A,1.57,4.2,5.5,185,185,2.49109375,
D1,09/02/2019,4,12,0,0,D,1.83,4,4,186,186,2.19510807736064,
D1,10/02/2019,15,16,3,0,H,2.1,3.5,3.5,187,187,1.7574679943101,
D1,10/02/2019,10,8,4,0,H,1.72,3.8,4.5,188,188,2.35226793248945,
D1,15/02/2019,8,0,2,3,A,15,6,1.2,189,189,1.03854545454545,
D1,16/02/2019,14,10,1,1,D,2.4,3.5,2.9,190,190,1.56216216216216,
D1,16/02/2019,9,11,3,0,H,1.3,6,8.5,191,191,4.12348178137652,
D1,16/02/2019,6,13,0,0,D,1.7,3.75,5.25,192,192,2.04991676575505,
D1,16/02/2019,16,4,1,3,A,5.25,4,1.65,193,193,1.17291311754685,
D1,16/02/2019,3,7,3,0,H,1.72,4,4.5,194,194,2.15067816091954,
D1,17/02/2019,12,5,1,1,D,2.3,3.6,3,195,195,1.69349042709867,
D1,17/02/2019,2,15,2,0,H,1.44,4.75,6.5,196,196,2.87112244897959,
D1,18/02/2019,17,1,0,0,D,7.5,5,1.4,197,197,1.15253424657534,
D1,22/02/2019,10,16,1,1,D,1.53,4.33,5.75,198,198,2.4644044044044,
D1,23/02/2019,0,14,1,0,H,1.18,7,17,199,199,4.82444239631336,
D1,23/02/2019,15,17,2,1,H,1.72,3.75,5,200,200,1.96875784190715,
D1,23/02/2019,13,8,5,1,H,2.15,3.5,3.3,201,201,1.60637636080871,
D1,23/02/2019,7,6,3,0,H,2.8,3.4,2.5,202,202,1.38799301919721,
D1,23/02/2019,5,3,0,3,A,1.75,3.8,4.75,203,203,1.84735135135135,
D1,24/02/2019,1,2,3,2,H,1.8,4.2,4,204,204,1.91747066492829,
D1,24/02/2019,11,12,0,3,A,4.75,3.75,1.75,205,205,1.18934010152284,
D1,25/02/2019,4,9,1,1,D,1.8,4,4,206,206,1.98988693467337,
D1,01/03/2019,8,1,2,1,H,5.75,4.5,1.53,207,207,1.16751724137931,
D1,02/03/2019,12,9,3,2,H,2.37,3.75,2.8,208,208,1.61277108433735,
D1,02/03/2019,14,7,2,1,H,1.85,3.6,4.33,209,209,1.95667924528302,
D1,02/03/2019,2,13,2,0,H,1.44,4.5,7.5,210,210,2.84943744752309,
D1,02/03/2019,5,0,1,5,A,5.5,4.5,1.57,211,211,1.15632582322357,
D1,02/03/2019,17,4,0,1,A,6.5,4.33,1.5,212,212,1.12438356164384,
D1,02/03/2019,6,15,0,4,A,1.83,3.75,4.2,213,213,2.00376670716889,
D1,03/03/2019,16,11,5,1,H,1.72,4,4.5,214,214,2.23919956140351,
D1,03/03/2019,3,10,1,1,D,2.15,3.5,3.3,215,215,1.70588579795022,
D1,08/03/2019,10,6,4,2,H,2.05,3.5,3.6,216,216,1.74498567335244,
D1,09/03/2019,0,3,6,0,H,1.25,6.5,10,217,217,4.58705304518664,
D1,09/03/2019,1,16,3,1,H,1.28,5.5,11,218,218,3.70026802807913,
D1,09/03/2019,13,14,2,1,H,2.55,3.25,2.87,219,219,1.59656786271451,
D1,09/03/2019,7,5,0,1,A,3.3,3.4,2.2,220,220,1.45307820299501,
D1,09/03/2019,4,8,0,0,D,1.36,5,8.5,221,221,3.64720799500312,
D1,10/03/2019,11,2,2,3,A,8.5,5.75,1.3,222,222,1.10614692653673,
D1,10/03/2019,9,17,2,1,H,1.25,5.75,12,223,223,3.86002472187886,
D1,11/03/2019,15,12,0,3,A,2.75,3.4,2.55,224,224,1.51462157809984,
