,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
171,Brazil,2019,11/24/2019,Palmeiras,Gremio,1,2,-1,2.19,3.14,3.77,33,22,1.71314037626628,11
172,Brazil,2019,11/24/2019,Botafogo RJ,Corinthians,1,0,1,3.13,2.92,2.64,17,15,1.38647482014388,2
173,Brazil,2019,11/24/2019,Avai,Chapecoense-SC,0,1,-1,2.42,3.17,3.21,9,13,1.59493730407524,-4
174,Brazil,2019,11/24/2019,Ceara,Sao Paulo,1,1,-1,2.62,3.06,3.02,21,13,1.51993421052632,8
175,Brazil,2019,11/24/2019,Internacional,Fortaleza,2,2,-1,1.39,4.71,8.46,23,20,3.02555808656036,3
176,Brazil,2019,11/25/2019,CSA,Fluminense,0,1,-1,3.88,3.36,2.06,15,16,1.2770479704797,-1
177,Brazil,2019,11/27/2019,Chapecoense-SC,Botafogo RJ,0,1,-1,2.57,3.02,3.13,13,11,1.5370081300813,2
178,Brazil,2019,11/27/2019,Internacional,Goias,1,2,-1,1.39,4.79,8.47,25,12,3.05967571644042,13
179,Brazil,2019,11/28/2019,Bahia,Atletico-MG,1,1,-1,2.56,3.27,2.91,22,15,1.5397572815534,7
180,Brazil,2019,11/28/2019,Athletico-PR,Gremio,2,0,1,2.61,3.18,2.92,23,24,1.52222950819672,-1
181,Brazil,2019,11/28/2019,Corinthians,Avai,3,0,1,1.39,4.29,10.27,21,7,3.02598214285714,14
182,Brazil,2019,11/28/2019,Flamengo RJ,Ceara,4,1,1,1.42,4.75,7.55,46,11,2.91565040650406,35
183,Brazil,2019,11/28/2019,Fluminense,Palmeiras,1,0,1,2.66,3.11,2.93,17,19,1.50865894039735,-2
184,Brazil,2019,11/28/2019,Fortaleza,Santos,2,1,1,3.25,3.31,2.32,22,15,1.36397868561279,7
185,Brazil,2019,11/28/2019,Sao Paulo,Vasco,1,0,1,1.65,3.63,6.11,20,18,2.27713552361396,2
186,Brazil,2019,11/29/2019,Cruzeiro,CSA,0,1,-1,1.33,4.87,10.8,13,6,3.35647734524569,7
187,Brazil,2019,11/30/2019,Botafogo RJ,Internacional,0,1,-1,3.9,3.16,2.14,18,14,1.27592452830189,4
188,Brazil,2019,11/30/2019,Ceara,Athletico-PR,1,1,-1,2.06,3.27,4.03,22,24,1.80521917808219,-2
189,Brazil,2019,12/1/2019,Avai,Fluminense,1,1,-1,6.29,4.01,1.57,9,17,1.12826164874552,-8
190,Brazil,2019,12/1/2019,Goias,Fortaleza,1,2,-1,2.01,3.58,3.82,27,22,1.84805405405405,5
191,Brazil,2019,12/1/2019,Palmeiras,Flamengo RJ,1,3,-1,2.39,3.49,2.98,34,27,1.60744976816074,7
192,Brazil,2019,12/1/2019,Atletico-MG,Corinthians,2,1,1,2.01,3.32,4.14,24,15,1.84246648793566,9
193,Brazil,2019,12/1/2019,CSA,Bahia,1,2,-1,3.18,3.22,2.41,15,17,1.37836589698046,-2
194,Brazil,2019,12/1/2019,Gremio,Sao Paulo,3,0,1,1.8,3.37,5.26,33,14,2.05402085747393,19
195,Brazil,2019,12/1/2019,Santos,Chapecoense-SC,2,0,1,1.22,6.28,14.46,38,14,4.37843780135005,24
196,Brazil,2019,12/2/2019,Vasco,Cruzeiro,1,0,1,2.47,3.11,3.19,18,14,1.57474603174603,4
197,Brazil,2019,12/4/2019,Athletico-PR,Santos,1,0,1,2.23,3.44,3.31,25,16,1.68687407407407,9
198,Brazil,2019,12/4/2019,Atletico-MG,Botafogo RJ,2,0,1,1.42,4.39,8.73,26,12,2.92108993902439,14
199,Brazil,2019,12/4/2019,Ceara,Corinthians,0,1,-1,2.07,3.08,4.28,23,16,1.79108695652174,7
200,Brazil,2019,12/5/2019,Chapecoense-SC,CSA,3,0,1,2.12,3.23,3.87,13,7,1.76057746478873,6
201,Brazil,2019,12/5/2019,Fluminense,Fortaleza,0,0,-1,1.85,3.54,4.57,18,24,1.99479654747226,-6
202,Brazil,2019,12/5/2019,Sao Paulo,Internacional,2,1,1,2.23,2.95,3.96,21,15,1.69059334298119,6
