Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
E0,08/12/2018,Chelsea,Man City,2,0,H,4,3.8,1.95,39,38,1.28869565217391,1
E0,08/12/2018,Leicester,Tottenham,0,2,A,3.8,3.75,2,24,33,1.30434782608696,-9
E0,08/12/2018,Man United,Fulham,4,1,H,1.33,5.75,10,33,12,3.65079365079365,21
E0,08/12/2018,West Ham,Crystal Palace,3,2,H,2.3,3.4,3.4,32,32,1.7,0
E0,09/12/2018,Newcastle,Wolves,1,2,A,2.9,3.2,2.7,24,19,1.46440677966102,5
E0,10/12/2018,Everton,Watford,2,2,D,1.8,3.75,5,30,26,2.14285714285714,4
E0,15/12/2018,Crystal Palace,Leicester,1,0,H,2.62,3.2,3,19,27,1.54838709677419,-8
E0,15/12/2018,Fulham,West Ham,0,2,A,2.9,3.6,2.5,22,20,1.47540983606557,2
E0,15/12/2018,Huddersfield,Newcastle,0,1,A,2.6,3.1,3.1,10,18,1.55,-8
E0,15/12/2018,Man City,Everton,3,1,H,1.22,7.5,13,57,24,4.75609756097561,33
E0,15/12/2018,Tottenham,Burnley,1,0,H,1.18,8,19,34,21,5.62962962962963,13
E0,15/12/2018,Watford,Cardiff,3,2,H,1.64,3.9,6,26,13,2.36363636363636,13
E0,15/12/2018,Wolves,Bournemouth,2,0,H,1.95,3.6,4.33,28,26,1.9656998738966,2
E0,16/12/2018,Brighton,Chelsea,1,2,A,7.5,4.5,1.5,19,24,1.125,-5
E0,16/12/2018,Liverpool,Man United,3,1,H,1.57,4.5,6,55,32,2.57142857142857,23
E0,16/12/2018,Southampton,Arsenal,3,2,H,4.1,3.9,1.9,27,31,1.27758620689655,-4
E0,21/12/2018,Wolves,Liverpool,0,2,A,7,4,1.57,28,34,1.12746858168761,-6
E0,22/12/2018,Arsenal,Burnley,3,1,H,1.25,6.5,15,42,21,4.53488372093023,21
E0,22/12/2018,Bournemouth,Brighton,2,0,H,1.9,3.7,4.33,30,16,1.99514321295143,14
E0,22/12/2018,Cardiff,Man United,1,5,A,6.5,4.2,1.57,21,32,1.14280762564991,-11
E0,22/12/2018,Chelsea,Leicester,0,1,A,1.33,5.5,11,39,27,3.66666666666667,12
E0,22/12/2018,Huddersfield,Southampton,1,3,A,3.1,3.1,2.6,10,18,1.4140350877193,-8
E0,22/12/2018,Man City,Crystal Palace,2,3,A,1.14,10,21,57,32,6.7741935483871,25
E0,22/12/2018,Newcastle,Fulham,0,0,D,2,3.6,4,24,12,1.89473684210526,12
E0,22/12/2018,West Ham,Watford,0,2,A,2.37,3.5,3.1,32,26,1.64393939393939,6
E0,23/12/2018,Everton,Tottenham,2,6,A,3.25,3.5,2.3,30,33,1.38793103448276,-3
E0,26/12/2018,Brighton,Arsenal,1,1,D,5.25,3.9,1.72,19,31,1.19359430604982,-12
E0,26/12/2018,Burnley,Everton,1,5,A,4.33,3.5,1.95,24,24,1.25229357798165,0
E0,26/12/2018,Crystal Palace,Cardiff,0,0,D,1.66,4,5.75,19,13,2.35897435897436,6
E0,26/12/2018,Fulham,Wolves,1,1,D,3.25,3.4,2.37,22,19,1.39653379549393,3
E0,26/12/2018,Leicester,Man City,2,1,H,9.5,5.25,1.36,24,38,1.08018154311649,-14
E0,26/12/2018,Liverpool,Newcastle,4,0,H,1.16,8.5,19,55,18,5.87272727272727,37
E0,26/12/2018,Man United,Huddersfield,3,1,H,1.25,6.5,15,33,12,4.53488372093023,21
E0,26/12/2018,Tottenham,Bournemouth,5,0,H,1.36,5.5,9,34,26,3.41379310344828,8
E0,26/12/2018,Watford,Chelsea,1,2,A,5.25,3.8,1.75,26,24,1.1981981981982,2
E0,27/12/2018,Southampton,West Ham,1,2,A,2.3,3.5,3.3,27,20,1.69852941176471,7
E0,29/12/2018,Brighton,Everton,1,0,H,3.25,3.4,2.14,19,24,1.31335740072202,-5
E0,29/12/2018,Fulham,Huddersfield,1,0,H,2,3.4,3.75,22,12,1.78321678321678,10
E0,29/12/2018,Leicester,Cardiff,0,1,A,1.55,4,6,24,13,2.4,11
E0,29/12/2018,Liverpool,Arsenal,5,1,H,1.5,4.5,5.75,55,31,2.52439024390244,24
E0,29/12/2018,Tottenham,Wolves,1,3,A,1.33,5,8.5,34,19,3.14814814814815,15
E0,29/12/2018,Watford,Newcastle,1,1,D,1.85,3.6,4,26,18,1.89473684210526,8
E0,30/12/2018,Burnley,West Ham,2,0,H,3.3,3.2,2.25,24,20,1.32110091743119,4
E0,30/12/2018,Crystal Palace,Chelsea,0,1,A,4.75,4,1.66,19,24,1.17314487632509,-5
E0,30/12/2018,Man United,Bournemouth,4,1,H,1.33,4.75,10,33,26,3.22033898305085,7
E0,30/12/2018,Southampton,Man City,1,3,A,10,5.25,1.3,27,38,1.04198473282443,-11
E0,01/01/2019,Arsenal,Fulham,4,1,H,1.33,5.75,9.5,42,12,3.58196721311475,30
E0,01/01/2019,Cardiff,Tottenham,0,3,A,7.5,4.5,1.5,21,33,1.125,-12
E0,01/01/2019,Everton,Leicester,0,1,A,2,3.5,4.2,30,27,1.90909090909091,3
E0,02/01/2019,Bournemouth,Watford,3,3,D,2.6,3.6,2.75,30,26,1.55905511811024,4
E0,02/01/2019,Chelsea,Southampton,0,0,D,1.28,6.5,11,39,18,4.08571428571429,21
E0,02/01/2019,Huddersfield,Burnley,1,2,A,2.14,3.1,4.2,10,21,1.78356164383562,-11
E0,02/01/2019,Newcastle,Man United,0,2,A,6,4.2,1.61,24,32,1.16385542168675,-8
E0,02/01/2019,West Ham,Brighton,2,2,D,1.95,3.75,4,32,16,1.93548387096774,16
E0,02/01/2019,Wolves,Crystal Palace,0,2,A,2,3.4,4.33,28,32,1.90452781371281,-4
E0,03/01/2019,Man City,Liverpool,2,1,H,2.04,3.8,3.6,57,34,1.84864864864865,23
E0,12/01/2019,Brighton,Liverpool,0,1,A,11,6,1.3,19,34,1.06849315068493,-15
E0,12/01/2019,Burnley,Fulham,2,1,H,2.4,3.3,3.25,24,12,1.63740458015267,12
E0,12/01/2019,Cardiff,Huddersfield,0,0,D,2.25,3.25,3.6,21,12,1.70802919708029,9
E0,12/01/2019,Chelsea,Newcastle,2,1,H,1.22,7,15,39,18,4.77272727272727,21
E0,12/01/2019,Crystal Palace,Watford,1,2,A,2.25,3.4,3.5,19,26,1.72463768115942,-7
E0,12/01/2019,Leicester,Southampton,1,2,A,1.95,3.5,4.33,24,18,1.93550446998723,6
E0,12/01/2019,West Ham,Arsenal,1,0,H,3.5,4,2.05,32,31,1.35537190082645,1
E0,13/01/2019,Everton,Bournemouth,2,0,H,1.75,4,4.8,30,26,2.18181818181818,4
E0,13/01/2019,Tottenham,Man United,0,1,A,2.05,3.7,3.75,34,32,1.86241610738255,2
E0,14/01/2019,Man City,Wolves,3,0,H,1.18,8,17,57,19,5.44,38
E0,19/01/2019,Arsenal,Chelsea,2,0,H,3.1,3.6,2.37,42,24,1.42914572864322,18
E0,19/01/2019,Bournemouth,West Ham,2,0,H,2.37,3.7,3,30,20,1.65671641791045,10
E0,19/01/2019,Liverpool,Crystal Palace,4,3,H,1.2,7.5,17,55,32,5.20408163265306,23
E0,19/01/2019,Man United,Brighton,2,1,H,1.3,5.75,12,33,16,3.88732394366197,17
E0,19/01/2019,Newcastle,Cardiff,3,0,H,1.95,3.4,4.5,24,13,1.93670886075949,11
E0,19/01/2019,Southampton,Everton,2,1,H,2.75,3.4,2.7,27,24,1.50491803278689,3
E0,19/01/2019,Watford,Burnley,0,0,D,1.65,4,5.75,26,21,2.35897435897436,5
E0,19/01/2019,Wolves,Leicester,4,3,H,2.37,3.2,3.4,28,27,1.64848484848485,1
E0,20/01/2019,Fulham,Tottenham,1,2,A,5.25,3.8,1.75,22,33,1.1981981981982,-11
E0,20/01/2019,Huddersfield,Man City,0,3,A,21,8.5,1.16,10,38,1.02070393374741,-28
