,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
175,F1,22/12/2018,Rennes,Nimes,4,0,H,1.83,3.5,4.5,9,15,1.96875,-6
176,F1,22/12/2018,St Etienne,Dijon,3,0,H,1.53,4.33,6,16,10,2.51500484027106,6
177,F1,22/12/2018,Strasbourg,Nice,2,0,H,2.37,3.2,3.1,15,7,1.57460317460317,8
178,F1,23/12/2018,Bordeaux,Amiens,1,1,D,1.61,3.75,6,14,4,2.30769230769231,10
179,F1,08/01/2019,Amiens,Angers,0,0,D,3.2,3,2.4,12,10,1.33333333333333,2
180,F1,08/01/2019,Nantes,Montpellier,2,0,H,2.6,3.1,2.9,16,11,1.49833333333333,5
181,F1,11/01/2019,Caen,Lille,1,3,A,3.8,3.25,2.1,10,10,1.27570093457944,0
182,F1,11/01/2019,Lyon,Reims,1,1,D,1.45,4.5,7.5,16,6,2.8125,10
183,F1,12/01/2019,Amiens,Paris SG,0,3,A,17,7.5,1.16,12,22,1.00461893764434,-10
184,F1,12/01/2019,Guingamp,St Etienne,0,1,A,2.87,3.2,2.5,8,9,1.40350877192982,-1
185,F1,12/01/2019,Nice,Bordeaux,1,0,H,2.2,3.2,3.6,6,5,1.69411764705882,1
186,F1,13/01/2019,Dijon,Montpellier,1,1,D,3.25,3.3,2.3,6,11,1.35535714285714,-5
187,F1,13/01/2019,Marseille,Monaco,1,1,D,1.57,4,6,17,9,2.4,8
188,F1,13/01/2019,Nantes,Rennes,0,1,A,2.55,3.3,2.8,18,14,1.51475409836066,4
189,F1,13/01/2019,Toulouse,Strasbourg,1,2,A,2.5,3.2,3,9,13,1.54838709677419,-4
190,F1,15/01/2019,Angers,Bordeaux,1,2,A,2.5,3,3,10,5,1.5,5
191,F1,16/01/2019,Guingamp,Rennes,2,1,H,2.87,3.2,2.55,8,15,1.41913043478261,-7
192,F1,16/01/2019,Monaco,Nice,1,1,D,2.3,3.2,3.3,7,7,1.62461538461538,0
193,F1,16/01/2019,Nimes,Nantes,1,0,H,2.37,3.25,3.1,11,8,1.58661417322835,3
194,F1,16/01/2019,St Etienne,Marseille,2,1,H,2.25,3.5,3.1,19,13,1.64393939393939,6
195,F1,16/01/2019,Toulouse,Lyon,2,2,D,5.25,3.75,1.66,10,14,1.15064695009242,-4
196,F1,18/01/2019,Lille,Amiens,2,1,H,1.65,3.6,5.75,19,5,2.21390374331551,14
197,F1,19/01/2019,Monaco,Strasbourg,1,5,A,1.9,3.5,4,8,15,1.86666666666667,-7
198,F1,19/01/2019,Nimes,Toulouse,0,1,A,1.95,3.6,3.8,12,8,1.84864864864865,4
199,F1,19/01/2019,Paris SG,Guingamp,9,0,H,1.1,10,26,28,6,7.22222222222222,22
200,F1,19/01/2019,Reims,Nice,1,1,D,2.25,3,3.7,9,8,1.65671641791045,1
201,F1,20/01/2019,Angers,Nantes,1,0,H,2.45,3.1,3.1,11,8,1.55,3
202,F1,20/01/2019,Bordeaux,Dijon,1,0,H,1.66,3.6,5.75,15,10,2.21390374331551,5
203,F1,20/01/2019,Caen,Marseille,0,1,A,4.33,3.6,1.85,11,14,1.22201834862385,-3
204,F1,20/01/2019,Rennes,Montpellier,0,0,D,2.05,3.4,3.8,13,12,1.79444444444444,1
205,F1,20/01/2019,St Etienne,Lyon,1,2,A,3.1,3.5,2.25,21,16,1.3695652173913,5
206,F1,23/01/2019,Nimes,Angers,3,1,H,2.05,3.4,3.8,12,10,1.79444444444444,2
207,F1,25/01/2019,Marseille,Lille,1,2,A,2.3,3.25,3.2,18,13,1.61240310077519,5
208,F1,26/01/2019,Dijon,Monaco,2,0,H,2.9,3.3,2.37,7,10,1.37936507936508,-3
209,F1,26/01/2019,Guingamp,Reims,0,1,A,2.5,3.1,3.1,10,7,1.55,3
210,F1,26/01/2019,Nice,Nimes,2,0,H,2.1,3.2,3.75,7,15,1.72661870503597,-8
211,F1,26/01/2019,Strasbourg,Bordeaux,1,0,H,2.4,3.2,3.1,17,7,1.57460317460317,10
212,F1,27/01/2019,Amiens,Lyon,0,1,A,6.5,4.2,1.53,12,18,1.12146596858639,-6
213,F1,27/01/2019,Montpellier,Caen,2,0,H,1.72,3.5,5.5,14,9,2.13888888888889,5
214,F1,27/01/2019,Paris SG,Rennes,4,1,H,1.22,6.5,12,37,16,4.21621621621622,21
215,F1,27/01/2019,Toulouse,Angers,0,0,D,2.2,3.2,3.5,12,11,1.67164179104478,1
216,F1,30/01/2019,Nantes,St Etienne,1,1,D,2.75,3.1,2.75,18,10,1.45726495726496,8
217,F1,01/02/2019,Lille,Nice,4,0,H,1.8,3.6,4.75,21,9,2.04790419161677,12
218,F1,02/02/2019,Angers,Dijon,1,0,H,2,3.3,4,12,10,1.80821917808219,2
219,F1,02/02/2019,Monaco,Toulouse,2,1,H,1.72,3.6,5.25,9,9,2.13559322033898,0
220,F1,02/02/2019,Reims,Marseille,2,1,H,2.7,3.25,2.7,10,15,1.47478991596639,-5
221,F1,02/02/2019,Rennes,Amiens,1,0,H,1.6,3.75,6.5,13,6,2.3780487804878,7
222,F1,03/02/2019,Lyon,Paris SG,2,1,H,3.8,3.8,1.85,17,25,1.24424778761062,-8
223,F1,03/02/2019,Nimes,Montpellier,1,1,D,2.6,3.1,2.9,15,12,1.49833333333333,3
224,F1,05/02/2019,Marseille,Bordeaux,1,0,H,2.25,3.2,3.4,19,7,1.64848484848485,12
225,F1,08/02/2019,Dijon,Marseille,1,2,A,4.33,3.5,1.85,9,16,1.21028037383178,-7
226,F1,09/02/2019,Amiens,Caen,1,0,H,2.1,3.1,4,12,9,1.74647887323944,3
227,F1,09/02/2019,Paris SG,Bordeaux,1,0,H,1.25,6.5,11,41,7,4.08571428571429,34
228,F1,09/02/2019,Strasbourg,Angers,1,2,A,2.05,3.2,4,18,11,1.77777777777778,7
229,F1,10/02/2019,Guingamp,Lille,0,2,A,3.4,3.3,2.2,10,15,1.32,-5
230,F1,10/02/2019,Montpellier,Monaco,2,2,D,2.45,3.1,3.1,16,10,1.55,6
231,F1,10/02/2019,Nantes,Nimes,2,4,A,1.9,3.3,4.2,19,15,1.848,4
232,F1,10/02/2019,Nice,Lyon,1,0,H,4.75,4,1.7,9,19,1.19298245614035,-10
233,F1,10/02/2019,Rennes,St Etienne,3,0,H,2.15,3.4,3.4,14,11,1.7,3
234,F1,10/02/2019,Toulouse,Reims,1,1,D,2.75,3,2.8,12,8,1.44827586206897,4
235,F1,13/02/2019,Caen,Nantes,0,1,A,3,3.1,2.5,11,8,1.38392857142857,3
236,F1,13/02/2019,St Etienne,Strasbourg,2,1,H,1.95,3.3,4,22,20,1.80821917808219,2
237,F1,15/02/2019,Lyon,Guingamp,2,1,H,1.3,5.25,10,19,6,3.44262295081967,13
238,F1,15/02/2019,Nimes,Dijon,2,0,H,1.75,3.8,4.5,16,10,2.06024096385542,6
239,F1,16/02/2019,Angers,Nice,3,0,H,2.4,3,3.3,13,9,1.57142857142857,4
240,F1,16/02/2019,Marseille,Amiens,2,0,H,1.4,4.5,9,20,6,3,14
241,F1,16/02/2019,Monaco,Nantes,1,0,H,1.8,3.6,4.5,11,9,2,2
242,F1,17/02/2019,Bordeaux,Toulouse,2,1,H,1.83,3.5,4.75,16,10,2.01515151515152,6
