Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
SP1,19/01/2019,16,3,1,2,A,3.1,3.2,2.4,,,1.37142857142857
SP1,19/01/2019,19,2,0,3,A,5.75,3.6,1.66,,,1.1361216730038
SP1,19/01/2019,1,5,2,0,H,1.7,4.2,4.5,,,2.17241379310345
SP1,20/01/2019,0,12,3,1,H,1.12,9,21,,,6.3
SP1,20/01/2019,9,18,3,2,H,1.61,3.75,6,,,2.30769230769231
SP1,20/01/2019,14,15,2,0,H,2.1,3.5,3.5,,,1.75
SP1,20/01/2019,17,8,2,2,D,2.87,3.3,2.5,,,1.42241379310345
SP1,20/01/2019,13,7,1,1,D,2.2,3.3,3.4,,,1.67462686567164
SP1,21/01/2019,11,6,3,0,H,2.1,3.1,4,,,1.74647887323944
SP1,26/01/2019,2,4,2,0,H,1.53,3.6,8,,,2.48275862068966
SP1,26/01/2019,12,11,2,2,D,2.62,3,3,,,1.5
SP1,26/01/2019,5,14,5,0,H,1.53,4.33,6,,,2.51500484027106
SP1,26/01/2019,3,13,3,0,H,1.83,3.6,4.5,,,2
SP1,27/01/2019,7,9,1,0,H,2.1,3.3,3.5,,,1.69852941176471
SP1,27/01/2019,6,1,2,4,A,4.2,4,1.8,,,1.24137931034483
SP1,27/01/2019,18,0,0,2,A,10,5.25,1.33,,,1.06117021276596
SP1,27/01/2019,8,19,0,0,D,1.61,3.75,6,,,2.30769230769231
SP1,27/01/2019,15,16,2,1,H,2.4,3.2,3.1,,,1.57460317460317
SP1,28/01/2019,10,17,0,1,A,2.15,3.3,3.5,,,1.69852941176471
SP1,01/02/2019,19,15,4,0,H,2.25,3.25,3.4,,,1.66165413533835
SP1,02/02/2019,0,3,2,2,D,1.28,5.75,11,,,3.77611940298507
SP1,02/02/2019,16,5,1,0,H,3.75,3.6,2,,,1.28571428571429
SP1,02/02/2019,14,4,0,0,D,2.37,3.25,3.1,,,1.58661417322835
SP1,02/02/2019,8,7,2,1,H,2.35,3.3,3.2,,,1.62461538461538
SP1,03/02/2019,9,2,1,0,H,4,3.2,2.05,,,1.24952380952381
SP1,03/02/2019,11,18,3,0,H,1.66,4,5,,,2.22222222222222
SP1,03/02/2019,1,10,3,0,H,1.2,6.5,15,,,4.53488372093023
SP1,03/02/2019,13,6,2,2,D,1.8,3.75,4.5,,,2.04545454545455
SP1,04/02/2019,17,12,1,2,A,2.37,3.25,3.1,,,1.58661417322835
SP1,08/02/2019,15,13,0,0,D,2.9,3.3,2.4,,,1.38947368421053
SP1,09/02/2019,2,1,1,3,A,2.37,3.25,3.1,,,1.58661417322835
SP1,09/02/2019,6,17,2,1,H,1.8,3.6,4.5,,,2
SP1,09/02/2019,4,16,3,1,H,1.9,3.4,4.33,,,1.90452781371281
SP1,09/02/2019,18,19,0,2,A,2,3.3,4,,,1.80821917808219
SP1,10/02/2019,7,0,0,0,D,4.75,4,1.7,,,1.19298245614035
SP1,10/02/2019,12,9,3,0,H,2.25,3,3.6,,,1.63636363636364
SP1,10/02/2019,5,11,2,2,D,1.66,4,5,,,2.22222222222222
SP1,10/02/2019,3,8,0,0,D,1.83,3.5,4.5,,,1.96875
SP1,11/02/2019,10,14,2,0,H,2,3.4,3.8,,,1.79444444444444
SP1,15/02/2019,11,4,2,2,D,2.05,3.3,4,,,1.80821917808219
